id,time,type,building,address,area,price,floor,county
111,2023/12/19,整層住家,電梯大樓,新北市汐止區中正路,43坪,23000,2 / 5,汐止區
112,2023/12/19,整層住家,無電梯公寓,新北市三重區五華街,21.78坪,23000,3 / 3,三重區
113,2023/12/18,分租套房,無電梯公寓,新北市三峽區大勇路,12坪,17000,5 / 5,三峽區
114,2023/12/18,分租套房,透天厝,新北市中和區南山路,7坪,12500,3 / 4,中和區
115,2023/12/18,分租套房,透天厝,新北市中和區南山路,7坪,12500,3 / 4,中和區
116,2023/12/18,廠辦,,新北市三重區光華路,76.97坪,80000,-1 / ,三重區
117,2023/12/17,整層住家,電梯大樓,新北市土城區清水路,40坪,22000,6 / 6,土城區
118,2023/12/16,分租套房,無電梯公寓,新北市中和區中和路,11坪,13000,2 / 5,中和區
119,2023/12/16,廠辦,,新北市五股區凌雲路二段,80坪,52000,1 / ,五股區
120,2023/12/16,整層住家,電梯大樓,新北市中和區忠孝街,33坪,26500,15 / 15,中和區
121,2023/12/16,整層住家,電梯大樓,新北市新店區安德街,31坪,26500,8 / 8,新店區
122,2023/12/16,整層住家,電梯大樓,新北市八里區中山路一段,8坪,11000,3 / 13,八里區
123,2023/12/16,分租套房,無電梯公寓,新北市中和區大勇街,7坪,8500,1 / 5,中和區
124,2023/12/16,辦公,無電梯公寓,新北市三重區三和路三段,30坪,30000,1 / 5,三重區
125,2023/12/16,整層住家,電梯大樓,新北市中和區忠孝街,20坪,22800,4 / 7,中和區
126,2023/12/15,整層住家,無電梯公寓,新北市中和區圓通路,35坪,17000,5 / 5,中和區
127,2023/12/15,整層住家,無電梯公寓,新北市中和區圓通路,31.62坪,17000,5 / 5,中和區
128,2023/12/15,整層住家,無電梯公寓,新北市中和區圓通路,31.62坪,17000,5 / 5,中和區
129,2023/12/15,廠辦,,新北市中和區連城路,75.27坪,65000,4 / ,中和區
130,2023/12/15,整層住家,無電梯公寓,新北市新店區中華路,32坪,32500,1 / 4,新店區
131,2023/12/13,整層住家,電梯大樓,新北市三重區正義南路,32.56坪,29500,12 / 14,三重區
132,2023/12/12,分租套房,無電梯公寓,新北市三重區集美街,6坪,6400,4 / 5,三重區
133,2023/12/12,分租套房,無電梯公寓,新北市三重區環河南路,7坪,7400,5 / 5,三重區
134,2023/12/12,分租套房,無電梯公寓,新北市三重區光明路,7坪,7500,4 / 5,三重區
135,2023/12/12,整層住家,電梯大樓,新北市中和區忠孝街,20坪,26000,10 / 11,中和區
136,2023/12/12,整層住家,無電梯公寓,新北市三重區光復路一段,14.08坪,18000,1 / 4,三重區
137,2023/12/12,整層住家,電梯大樓,新北市新莊區思源路,37.63坪,38000,14 / 19,新莊區
138,2023/12/12,廠辦,,新北市五股區更洲路,140坪,60000,1 / 1,五股區
139,2023/12/12,廠辦,,新北市中和區中山路二段,116坪,85000,1 / ,中和區
140,2023/12/11,整層住家,無電梯公寓,新北市泰山區民生路,25坪,25000,4 / 4,泰山區
141,2023/12/11,整層住家,電梯大樓,新北市淡水區新市二路四段,25.5坪,23000,5 / 12,淡水區
142,2023/12/09,整層住家,電梯大樓,新北市八里區中華路二段,26.55坪,18000,8 / 12,八里區
143,2023/12/07,獨立套房,無電梯公寓,新北市板橋區中山路二段,20坪,15000,6 / 6,板橋區
144,2023/12/07,廠房,,新北市中和區新民街,120坪,70000,1 / 3,中和區
145,2023/12/07,廠房,,新北市中和區新民街,120坪,70000,1 / 3,中和區
146,2023/12/06,車位,,新北市新莊區福營路,14.56坪,4000,,新莊區
147,2023/12/06,整層住家,電梯大樓,新北市新莊區中港路,19.68坪,22000,9 / 12,新莊區
148,2023/12/06,分租套房,無電梯公寓,新北市中和區南山路,7坪,7500,3 / 4,中和區
